X1,X2,X3,X4,X5,Y
0.00632,2.31,0.538,6.575,65.2,24
0.02731,7.07,0.469,6.421,78.9,21.6
0.02729,7.07,0.469,7.185,61.1,34.7
0.03237,2.18,0.458,6.998,45.8,33.4
0.06905,2.18,0.458,7.147,54.2,36.2
0.02985,2.18,0.458,6.43,58.7,28.7
0.08829,7.87,0.524,6.012,66.6,22.9
0.14455,7.87,0.524,6.172,96.1,27.1
0.21124,7.87,0.524,5.631,100,16.5
0.17004,7.87,0.524,6.004,85.9,18.9
0.22489,7.87,0.524,6.377,94.3,15
0.11747,7.87,0.524,6.009,82.9,18.9
0.09378,7.87,0.524,5.889,39,21.7
0.62976,8.14,0.538,5.949,61.8,20.4
0.63796,8.14,0.538,6.096,84.5,18.2
0.62739,8.14,0.538,5.834,56.5,19.9
1.05393,8.14,0.538,5.935,29.3,23.1
0.7842,8.14,0.538,5.99,81.7,17.5
0.80271,8.14,0.538,5.456,36.6,20.2
0.7258,8.14,0.538,5.727,69.5,18.2
1.25179,8.14,0.538,5.57,98.1,13.6
0.85204,8.14,0.538,5.965,89.2,19.6
1.23247,8.14,0.538,6.142,91.7,15.2
0.98843,8.14,0.538,5.813,100,14.5
0.75026,8.14,0.538,5.924,94.1,15.6
0.84054,8.14,0.538,5.599,85.7,13.9
0.67191,8.14,0.538,5.813,90.3,16.6
0.95577,8.14,0.538,6.047,88.8,14.8
0.77299,8.14,0.538,6.495,94.4,18.4
1.00245,8.14,0.538,6.674,87.3,21
1.13081,8.14,0.538,5.713,94.1,12.7
1.35472,8.14,0.538,6.072,100,14.5
1.38799,8.14,0.538,5.95,82,13.2
1.15172,8.14,0.538,5.701,95,13.1
1.61282,8.14,0.538,6.096,96.9,13.5
